synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
naira.n.01,the basic unit of money in Nigeria,naira,Q203567,currency of the Federal Republic of Nigeria,"Nigerian_naira,Nigerian_naira,Nigerian_naira,N,₦,Nigerian_naira,NGN,Naira,NG₦,NGN_(₦),Kobo,one_Naira_banknotes,naira",7|8
leaf-nosed_snake.n.01,any of various pale blotched snakes with a blunt snout of southwestern North America,leaf-nosed_snake,Q2998808,species of reptile,"Lytorhynchus_diadema,Awl-headed_snake,Lytorhynchus_diadema,Common_leaf-nosed_snake",7|8
malto.n.02,the Dravidian language spoken by the Malto,Malto,Q33907,Dravidian language,"Sauria_Paharia,Malto,Malto_language,Malto,Paharia,Malto_language",7|8
crepe_suzette.n.01,crepes flamed in a sweet orange-and-lemon flavored liqueur sauce,crepe_Suzette,Q1142539,food,"Crêpe_Suzette,Crepe_Suzette,Crêpes_Suzette,Crêpes_Suzette,crêpes_Suzette",7|8
diurnal.s.02,having a daily cycle or occurring every day,diurnal,Q14908732,"Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours.","circadian_regulation_of_gene_expression,GO:0032922,diurnal_variation_of_gene_expression,diurnal_variation_of_protein_expression,circadian_regulation_of_protein_expression",7|8
vestibular_apparatus.n.01,organs mediating the labyrinthine sense; concerned with equilibrium,"vestibular_apparatus,vestibular_system",Q22298285,The process in which the anatomical structure of the vestibulocochlear nerve is generated and organized. This sensory nerve innervates the membranous labyrinth of the inner ear. The vestibular branch innervates the vestibular apparatus that senses he,"vestibulocochlear_nerve_morphogenesis,CN_VIII_morphogenesis",7|8
louis_v.n.01,the last Carolingian king of France (967-987),"Louis_V,Louis_le_Faineant",Q205289,King of France,"Louis_V_of_France,Louis_V_of_France,King_Louis_V,Louis_V,_King_of_France,Louis_V,Louis,Louis_the_Indolent,Louis_V_of_France,Louis_the_Sluggard,Prince_Louis",7|8
unconfessed.s.01,not admitted,unconfessed,Q183959,acknowledgment of one's sins,"confession,Penance,Confession_(religion),Confession,confessing_sins,reconciliation,penance,church_confessional,confession_of_sins,Confessions_in_religion,penitent,First_Confession,confess,confession,Sacramental_Confession,father_confessor,Christian_confession,religious_confession,unconfessed,Confession_of_sins,Reconciliation,Christian_confessions,confessor,confession_of_sin,confessionalism,confessions,Shriving,Confession_(religion),Sacrament_of_Penance,confession_in_religion,confess_to_a_priest,Common_Confession,Confessions,confesses,confessed,Sacrament_of_Penance_and_Reconciliation,auricular_(spoken)_confession,confession_for_his_sins,confessionary,Auricular_confession,sacrament_of_penance,confessional,reconciliation_of_penitents,Sacrament_of_Confession,confessors,Confession_and_absolution,reconciliation_of_a_penitent,confess_their_sins,auricular_confession,Confession_(i.e.,_penance_or_reconciliation),hear_confessions,confessing,confess_her_sin,Confession_of_Sin_and_Pardon",7|8
diving_board.n.01,a springboard from which swimmers can dive,diving_board,Q1543431,"board that is itself a spring, used for diving","springboard,diving_board,Springboard_Diving,Springboard,diving-board,diving,Men's_3_m_Springboard,Springboard_Diving,Springboard,3_m_springboard,3m_springboard,Synchro_3m_springboard,Women's_3_m_Springboard,Diving_Board,3_m_Springboard,diving_boards,springboard,diving_board,Men's_1_m_Springboard,Cantilever_spring,Women's_1_m_Springboard",7|8
hunger_march.n.01,a march of protest or demonstration by the unemployed,hunger_march,Q962901,art exhibition,"The_Hunger_March,The_Hunger_March,The_Hunger_March",7|8
drift_net.n.01,a large fishnet supported by floats; it drifts with the current,drift_net,Q2451135,fishing technique,"drift_netting,Drift_netting,drift-netting,drift_net,Drift_netting,drift-net_fishing,Drift_net,driftnets,drift_nets,drift-net,drift_netting",7|8
tape_deck.n.01,electronic equipment for making or playing magnetic tapes (but without amplifiers or speakers); a component in an audio system,tape_deck,Q213777,analog audio storage device using magnetic tape,"tape_recorder,tape_deck,tape_machine,tape_player,Tape_recorder,tape_playback,audio_recorder,tapes,Tape_recorder,tape_recorded,Tape_recorder#Tapedeck_speeds,wire,tape-recorded,Video_recorders,recording_device,Tolnai_Tape_recorders,analog_tape,reel-to-reel,tape_machines,reel-to-reel_tape_deck,tape_machine,taped,tape,24-track_tape_machine,cassette_recorder,tape_recorder,tape_recordings,portable_tape_recorder,machine,recorders,audio-,tape_recording,tape_decks,tape-recording,steel_tape,Studymaster_tape_recorder,_\,tape_deck,recorder,inches_per_second,two-track_tape_recorder,deck,Reel-to-reel_Tape_Machine,Tape_recorders,audiotape,audio_tape_recorder,analog_tape_machines,magnetic_tape,analog_tape_recorder,audio_tape,magnetic_tape_recorders,four-track_tape_recorder,tape_operation",7|8
experimenter.n.01,a research worker who conducts experiments,experimenter,Q1331083,"systematic, scientific investigation that involves human beings as research subjects","human_subject_research,human_experimentation,Human_subject_research,influential_1966_article,research_of_human_subjects,subjects,research_subjects,research_on_human_beings,human_subject_experiment,experiments_on_humans,1966_seminal_paper,psychological_experiments,biological_experiments,Ethics_Code_of_the_American_Psychological_Association,human_experimentation,human_experiments,Guineapigs,research_volunteer,medical_experiments,'guinea_pig',Human_subject_research,medical_drug_testing,jurisdiction,volunteered_for_clinical_trials,experimentation,Guinea_pig,study,human_guinea_pigs,experimenting_on_humans,scientific_or_medical_experiments,human_guinea_pig,Human_experimentation,human_test_subjects,experiments_on_its_inmates,Participants,human_participants,human_subjects_research,\,medical_drug_test,human_experiment,human_subjects,subject,test_subject,protection_of_human_subjects,experiments,testing,test_subjects,guinea_pigs,human_subject,human_clinical_trial,experimentation_on_human_beings,Human_research,human_subjects'_involvement_in_research,guinea_pig,human_subject_research,human_research_subject,research_involving_human_subjects",7|8
neurasthenic.a.01,of or relating to or suffering from neurasthenia,neurasthenic,Q510236,"psychopathological term to denote a condition with symptoms of fatigue, anxiety, headache, heart palpitations, high blood pressure, neuralgia, and depressed mood. also known as effort syndrome","neurasthenia,Neurasthenia,Neurasthenic,nervous_exhaustion,neurasthenia,Neurasthenia,neuralgia,Shenjing_shuairuo,neurasthenic,cerebral_exhaustion,sexual_neurasthenia",7|8
active_placebo.n.01,a placebo used in experimental tests of a drug that has noticeable side effects,active_placebo,Q63393405,clinical trial,Using_a_Low_Dose_of_Ketamine_vs._Active_Placebo_in_Treating_Severe_Depression_and_Suicide,7|8
mollycoddle.n.01,a pampered darling; an effeminate man,mollycoddle,Q3988363,"1920 film by Victor Fleming, Joseph Henabery","The_Mollycoddle,Mollycoddle,The_Mollycoddle,The_Mollycoddle",7|8
false_nettle.n.01,any of several flowering weeds of the genus Boehmeria lacking stinging hairs,"false_nettle,bog_hemp",Q2130176,genus of plants,"Boehmeria,Boehmeria,false_nettle,Boehmeria,boehmeria,''Boehmeria_cylindrica''",7|8
elastic.n.02,a fabric made of yarns containing an elastic material,elastic,Q55888080,article,Surface_Energy_and_the_Contact_of_Elastic_Solids,7|8
pigeonhole.v.02,treat or classify according to a mental stereotype,"pigeonhole,stereotype,stamp",Q167172,over-generalized belief about a particular category of people,"stereotype,stereotypes,Stereotype,Stereotypical,Stereotypically,stereotype,stereotypic,stereotypical_ethno-racial_differences,overlystereotyped,stereo-typical,emulating_aspects,Irish_stereotypes,negative_stereotypes,stereotypically,running_joke,popular_thought,social_stereotypes,Sexual_stereotypes,stereotypical,stereotyping,Stereotyping,stereotype_activation,being_stereotyped,intended_image,stereotype_accuracy,Stereotype#Welsh_stereotypes,ethnic_slurs,human_stereotype,Stereotype#Accuracy,perceived_differences,stereotypes,negative_stereotyping,Stereotype,illusory_correlations,racially_stereotyped,Stereotypical_images,cultural_stereotypes",7|8
solar_system.n.01,the sun with the celestial bodies that revolve around it in its gravitational field,solar_system,Q544,planetary system of the Sun,"Solar_System,planetary_house,Solar_System,outer_solar_system,inner_system,the_Solar_System,The_Solar_System,Solar_System#Outer_Solar_System,the_solar_system,Jupiter,Mercury,Saturn,interstellar,one_boundary,system,Sol_system,stars,Solar_System#Inner_Solar_System,planets,inner_Solar_System,Mars,our_solar_system,Solar_System#Mid_Solar_System,inner_planets,Solar,Earth's_Solar_System,the_outer_Solar_System,orbit,Ceres,Solar_System's,span_style=\,Solar_System#Inner_planets,Trans-Neptunian_region,boundaries_of_the_Solar_system,terrestrial_region,Solar-System_bodies,Sol_System,8_planets,heliocentric_(solar)_system,outer_Solar_System,Solar_System,Sol,planets_of_the_solar_system,solar_system,other_planets",7|8
heroin_addict.n.01,someone addicted to heroin,heroin_addict,Q1639178,substance abuse that involves the recurring use of opioid drugs despite negative consequences,"opioid_abuse,opioid_use_disorder,Opioid_use_disorder,opioid_addiction,heroin_addiction,Opioid_use_disorder#Management,heroin,Opioid_use_disorder,opioid_abuse,addiction_maintenance_treatment,heroin_addict,opioid_use_disorder,addiction_to_opioids,Opioid_use_disorder#Management,Opioid_use_disorder#Symptoms_of_withdrawal",7|8
aries.n.02,a small zodiacal constellation in the northern hemisphere; between Pisces and Taurus,Aries,Q10584,zodiac constellation in the northern celestial hemisphere,"Aries,Ari,Arietis,Aries_(constellation),the_ram,Aries,Varak,the_constellation,Ari,Arietis,lamb,Aries_(constellation),constellation_Aries,Ram,sidereal_Aries,Aries_constellation,Mesha",7|8
foghorn.n.01,a loud low warning signal that can be heard by fogbound ships,"foghorn,fogsignal",Q1320847,"A device making a loud, deep sound as a warning to ships in fog","foghorn,foghorns,Foghorn,large_bell,fog_horn,fog_signal,fog-warning,Horn,fog-horn,audio_signals_for_restricted_visibility,fog_bell,foghorn,Foghorn,fog_whistles,fog-signalling_apparatus,Foghorn#Fog_Signal",7|8
palmitin.n.01,an ester of glycerol and palmitic acid,palmitin,Q27896330,chemical compound,3-butyro-1-palmitin,7|8
dedicate.v.04,"set apart to sacred uses with solemn rites, of a church",dedicate,Q1762010,"act of consecrating an altar, temple, church, or other sacred building","dedication,Dedication,Dedication#Medieval_Western_customs,dedicatory,rededicating,consecrated,dedications,consecration,Dedicatory,dedicated,dedicate,rededicated,dedicatee,rededication,Dedication,dedication,dedication_of_a_church,dedication_ceremony,church_dedications,Church_Dedication,Dedicated",7|8
turmeric.n.02,ground dried rhizome of the turmeric plant used as seasoning,turmeric,Q20730193,powdered rhizome of the Curcuma longa plant used as a spice in cooking,"powdered_turmeric,turmeric,ground_turmeric",7|8
wildcat_strike.n.01,a strike undertaken by workers without approval from the officials of their union,wildcat_strike,Q1198713,"strike action undertaken by unionized workers without union leadership's authorization, support, or approval","wildcat_strike_action,wildcat_strike,Wildcat_strike_action,wildcat_strike,wildcat,wildcat_action,wildcats,Wildcat,walked_off_the_job_in_defiance,Wildcat_strike_action,wildcat_disputes,wild_cat,Wildcat_strikes,mainly_unofficial_strikes,wildcat_strikes,wildcat_strike_action,unofficial_strike,outlaw_strikes,Wild_cat",7|8
street_name.n.04,the name of a street,street_name,Q25393139,street name,Goethestraße,7|8
encephalocele.n.01,protrusion of brain tissue through a congenital fissure in the skull,encephalocele,Q9390465,"Limb body wall complex (LBWC) is characterized by severe multiple congenital anomalies in the fetus with exencephaly/encephalocele, thoraco- and/or abdominoschisis (anterior body wall defects) and limb defects, with or without facial clefts","Limb_body_wall_complex,LBWC,Short_umbilical_cord_syndrome,Aplasia_of_the_cord,Limb-body_wall_complex,Body_stalk_anomaly,Umbilical_cord,_short,LBWC_syndrome,Cyllosomas,Limb_body_wall_complex,Limb_body_wall_complex",7|8
dinner_plate.n.01,a plate from which a diner eats during the main course of a meal,dinner_plate,Q57216,flat vessel on which food can be served,"plate,dish,Plate_(dishware),Plate,plates,Dish,Plate_(dishware),Plate_(dishware)#Design#Size,dinner_plates,dish,plate,Plates,dinner_plate,dishware_plate,plate_(dishware),Kori_Plate,Travel_Plate,Plate_(dishware)#Disposable_plates,collectible_plates,dishes",7|8
aberrate.v.02,diverge or deviate from the straight path; produce aberration,aberrate,Q639,departure of the performance of an optical system from the predictions of paraxial optics,"optical_aberration,distortion,aberration,Optical_aberration,Optical_aberration,Ocular_aberrations,Lens_aberration,unaberrated_system,aberration_corrected,non-aberrated,curvature_of_field,aberrations,lens_aberrations,mirror_aberrations,aberration,optically_corrected,aplanatic_point,distortions,optical_aberration",7|8
granville-barker.n.01,English actor and dramatist and critic and director noted for his productions of Shakespearean plays (1877-1946),"Granville-Barker,Harley_Granville-Barker",Q2043891,British actor and playwright,"Harley_Granville-Barker,Harley_Granville-Barker,Granville_Barker,Barker,Harley_Granville-Barker,Harley_Granville_Barker,Granville-Barker",7|8
hyoid.a.01,of or relating to the hyoid bone,hyoid,Q16332,horseshoe-shaped bone situated in the anterior midline of the neck between the chin and the thyroid cartilage,"hyoid_bone,Greater_cornu,Hyoid_bone,lesser_cornu_of_the_hyoid_bone,Anterior_cornua,greater_cornu,hyoid_plate,hyoid_bar,Hyoid,hyoid_bone,hyoid,Hyoid_bone,hyoid_apparatus",7|8
piston_ring.n.01,seal consisting of a split metal ring that seals the gap between a piston and the cylinder wall,piston_ring,Q1127214,split ring that fits into a groove on the outer diameter of a piston in a reciprocating engine,"piston_ring,Piston_ring,elastic_ring,piston_rings,Goetze_Diamond_Coating_(GDC),Piston_ring,sealing_rings,two-segment,piston_ring,ring,rings,oil_scraper_ring",7|8
nose_flute.n.01,a flute that is played by blowing through the nostrils (used in some Asian countries),nose_flute,Q8686499,Wikimedia category,Category:Nose_flutes,7|8
hiatus_hernia.n.01,hernia resulting from the protrusion of part of the stomach through the diaphragm,"hiatus_hernia,hiatal_hernia,diaphragmatic_hernia",Q727153,type of hernia in which abdominal organs (typically the stomach) slip through the diaphragm into the middle compartment of the chest,"hiatus_hernia,hiatal_hernia,Diaphragmatic_-_hiatus_-hernia,Hiatal_hernia_(disorder),Hiatus_hernia,HERNIA,_HIATUS,Hiatal_hernia,hiatal_hernia,Hiatal_hernia",7|8
reforest.v.01,forest anew,reforest,Q815818,land regeneration method,"reforestation,reforesting,Reforestation,Reforestation#Germany,regeneration,reforestation,Reforestation,reverting,reforested,to_reforest,reforest,reforesting,regrowth,regenerate_and_preserve_forests,returning_to_forest,planting_trees,tree_plantings,Reforestation#China,Reforestation#Criticisms,replanting,reforestate",7|8
ecoterrorism.n.01,violence carried out to further the political or social objectives of the environmentalists,"ecoterrorism,ecological_terrorism,eco-warfare,ecological_warfare",Q838498,"acts of violence committed to in support of ecological or environmental causes, against persons or their property","eco-terrorism,Eco-terrorism,eco-terrorist,ecoterrorist,eco-terrorist_group,Eco-terrorist,Eco-terrorism,illegally_sabotage_or_destroy,Eco-terrorists,eco-terror,\,eco-terrorism,ecological_terrorist,attacks_against_corporations,eco_terrorist,sinking_the_''Coral_Queen'',eco-terrorists,Government_responses_to_ecoterrorism",7|8
